Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-02-06 17:00:01,1035,380,522,350,339
2026-02-06 17:30:01,1020,383,524,349,339
2026-02-06 18:00:01,1033,383,525,351,339
2026-02-06 18:30:01,1045,379,525,346,338
2026-02-06 19:00:01,1043,379,523,349,334
2026-02-06 19:30:01,1043,382,524,345,337
2026-02-06 20:00:01,1047,380,524,351,339
2026-02-06 20:30:01,1018,382,526,350,338
2026-02-06 21:00:01,1032,381,526,348,336
2026-02-06 21:30:01,1037,382,526,349,339
2026-02-06 22:00:01,1044,381,524,348,339
2026-02-06 22:30:01,1044,382,523,348,337
2026-02-06 23:00:01,1019,381,524,346,336
2026-02-06 23:30:01,1043,383,528,351,339
2026-02-07 00:00:01,1042,383,520,347,340
2026-02-07 00:30:01,1031,383,525,347,339
2026-02-07 01:00:01,1026,382,524,348,339
2026-02-07 01:30:01,1037,383,525,350,336
2026-02-07 02:00:01,1020,381,525,349,336
2026-02-07 02:30:01,1022,382,524,350,338
2026-02-07 03:00:01,1034,381,525,351,335
2026-02-07 03:30:01,1032,381,521,348,337
2026-02-07 04:00:01,1038,381,524,347,335
2026-02-07 04:30:01,1053,380,528,349,337
2026-02-07 05:00:02,1046,382,523,347,339
2026-02-07 05:30:01,1036,380,525,346,339
2026-02-07 06:00:01,1055,382,526,347,339
2026-02-07 06:30:01,1045,383,524,347,335
2026-02-07 07:00:01,1031,384,525,351,337
2026-02-07 07:30:01,1030,383,524,349,339
2026-02-07 08:00:01,1041,381,522,349,341
2026-02-07 08:30:01,1040,380,524,350,345
2026-02-07 09:00:01,1030,379,525,352,339
2026-02-07 09:30:01,1020,381,525,349,339
2026-02-07 10:00:01,1044,383,523,348,338
2026-02-07 10:30:01,1033,381,525,349,339
2026-02-07 11:00:01,1025,382,524,353,338
2026-02-07 11:30:01,1043,384,525,349,339
2026-02-07 12:00:01,1041,383,524,354,337
2026-02-07 12:30:01,1031,381,524,350,338
2026-02-07 13:00:01,1020,381,523,351,338
2026-02-07 13:30:01,1018,382,525,348,337
2026-02-07 14:00:01,1039,382,525,348,337
