Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-02-07 14:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 15:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 15:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 16:00:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 16:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 17:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 17:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 18:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 18:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 19:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 19:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 20:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 20:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 21:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 21:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 22:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 22:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 23:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 23:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 00:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 00:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 01:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 01:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 02:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 02:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 03:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 03:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 04:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 04:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 05:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 05:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 06:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 06:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 07:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 07:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 08:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 08:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 09:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 09:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 10:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 10:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 11:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 11:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 12:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 12:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 13:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 13:30:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 14:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 14:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 15:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 15:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 16:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 16:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 17:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 17:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 18:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 18:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 19:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 19:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 20:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 20:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 21:00:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 21:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 22:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 22:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 23:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-08 23:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 00:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 00:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 01:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 01:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 02:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 02:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 03:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 03:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 04:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 04:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
